Time,Position,Speed
0.851,-0.0581041,0.477145
0.852,-0.057627,0.488159
0.853,-0.0571388,0.499049
0.854,-0.0566397,0.509811
0.855,-0.0561299,0.520445
0.856,-0.0556095,0.530947
0.857,-0.0550785,0.541317
0.858,-0.0545372,0.551552
0.859,-0.0539857,0.56165
0.86,-0.053424,0.57161
0.861,-0.0528524,0.581431
0.862,-0.052271,0.59111
0.863,-0.0516799,0.600646
0.864,-0.0510792,0.610038
0.865,-0.0504692,0.619284
0.866,-0.0498499,0.628383
0.867,-0.0492215,0.637334
0.868,-0.0485842,0.646136
0.869,-0.047938,0.654786
